price,number_of_rooms,size_of_the_apartment,floor_number,address,description
340.0,3,79.0,8,Poznań Rataje ul. Os. Orła Białego,
235.0,2,38.0,4,Poznań Rataje Środka Zawady Centrum Wilda Łazarz ul. Powstań Narodowych - Polecam!!!,
359.0,3,58.0,1,Poznań Grunwald,
199.0,1,28.0,2,Poznań Winogrady Piątkowo Centrum ul. Przyjaźni Os., drugie piÄ™tro 
156.0,1,31.0,1,Poznań Sypniewo,
497.0,4,127.0,1,Poznań Szczepankowo,
340.0,3,65.0,2,Poznań Winogrady ul. Osiedle Kosmonautow, drugie piÄ™tro 
310.5,2,53.7,4,Poznań Stare Miasto Winogrady ul. Osiedle Powstańców Warszawy,
394.67400000000004,3,67.27,2,Poznań Naramowice ul. Błażeja, drugie piÄ™tro 
189.0,2,40.2,4,Poznań Grunwald ul. Małeckiego,
259.0,3,47.0,3,Poznań-Stare Miasto Stare Miasto, trzecie
222.0,2,38.0,1,Poznań Winogrady Piątkowo Sołacz Naramowice P ul. Kosmoanutów,
325.0,3,61.0,3,Poznań Ogrody ul. Nowy Świat Szpitalna Cicha Okolica, trzecie
335.0,3,51.0,4,Poznań Sołacz ul. Wojska Polskiego,
208.0,2,29.93,5,Poznań Wilda ul. Czarnieckiego,
240.0,2,42.0,10,Poznań ul. Os. Czecha,
285.0,3,48.0,3,Poznań Winogrady Piątkowo Sołacz ul. Przyjaźni Os., trzecie
349.0,3,60.0,4,Poznań Grunwald Jeżyce Centrum ul. Rycerska,
274.9,2,49.0,11,Poznań Piątkowo ul. Os. Jana Iii Sobieskiego,
288.395,2,46.04,7,Poznań Winogrady ul. Hawelańska,
250.0,2,49.4,1,Poznań Jeżyce ul. Polna,
390.0,3,83.7,2,Poznań Grunwald Łazarz ul. Głogowska, drugie piÄ™tro 
408.45599999999996,3,65.88,1,Poznań Winogrady ul. Hawelańska,
217.498,2,37.76,1,Poznań Nowe Miasto ul. Smolna 13 D,
289.0,2,50.0,7,Poznań Ogrody,
340.0,3,59.0,1,Poznań Grunwald Junikowo Centrum ul. Rejon Ul. Junikowskiej,
329.0,2,65.0,3,Poznań Wilda, trzecie
535.0,3,67.32,1,Poznań Grunwald ul. Brzask,
182.0,2,46.0,3,Poznań Dębiec ul. Łozowa Azaliowa, trzecie
299.0,3,59.0,1,Poznań Piątkowo ul. Łokietka,
160.0,1,28.9,1,Poznań,
225.0,1,40.0,1,Poznań Centrum,
249.0,2,49.0,10,Poznań Rataje ul. Os.Lecha,
236.16,2,38.4,4,Poznań Winogrady ul. Hawelańska,
480.0,2,60.0,6,Poznań Rataje ul. Os. Piastowskie- Pelikan,
480.92400000000004,4,65.88,4,Poznań Sołacz ul. Ul. Sokoła 21,
285.0,2,49.9,2,Poznań Naramowice ul. Błażeja, drugie piÄ™tro 
725.336,4,106.52,3,Poznań Wilda ul. Św. Czesława, trzecie
825.0,4,148.0,1,Poznań Naramowice ul. Błażeja,
224.04,2,37.34,3,Poznań Wilda ul. Rolna 37 I 39, trzecie
320.0,3,62.0,1,Poznań Grunwald ul. Okolica Namysłowskiej,
244.64700000000002,2,39.78,5,Poznań Winogrady ul. Hawelańska,
341.6,2,61.0,1,Poznań Poznań-Grunwald ul. Jana Matejki,
409.5,4,78.0,1,Poznań Łazarz,
279.0,3,48.0,1,Poznań Winogrady ul. Winogrady,
249.875,2,40.63,4,Poznań Winogrady ul. Hawelańska,
190.0,2,52.4,1,Poznań ul. Głuszyna,
531.544,2,43.47,3,Poznań Stare Miasto ul. Dominikańska, trzecie
360.0,2,52.0,3,Poznań Wilda ul. Ul. Jana Umińskiego, trzecie
195.739,2,33.69,1,Poznań Nowe Miasto ul. Smolna 13 D,
360.0,3,51.3,2,Poznań Piątkowo ul. Stróżyńskiego, drugie piÄ™tro 
335.714,3,61.05,2,Poznań Piątkowo ul. Mateckiego 4c Miejsce Parkingowe W Cenie, drugie piÄ™tro 
195.0,2,47.0,3,Poznań Dębiec ul. Azaliowa, trzecie
279.0,2,50.0,1,Poznań Stare Miasto,
578.0,2,56.4,3,Poznań Grunwald, trzecie
270.20799999999997,2,42.22,5,Poznań Piątkowo ul. Kurpińskiego,
260.0,2,60.0,4,Poznań Jeżyce Grunwald Łazarz ul. Husarska,
229.0,2,39.0,2,Poznań Piątkowo, drugie piÄ™tro 
435.0,4,78.0,4,Poznań Stare Miasto ul. Centrum Dwupoziomowe,
511.017,4,84.89,2,Poznań Grunwald ul. Gotowe Do Odbioru Jeleniogórska Mdm, drugie piÄ™tro 
206.375,1,31.75,8,Poznań Piątkowo ul. Kurpińskiego,
149.0,1,22.0,5,Poznań Ogrody ul. Szpitalna,
290.0,2,41.0,2,Poznań Podolany Strzeszyn Piątkowo Winogrady ul. Strzeszyńska Ul., drugie piÄ™tro 
599.0,4,108.0,1,Poznań Grunwald,
289.0,2,47.2,1,Poznań Nowe Miasto Rataje ul. Osiedle Rzeczypospolitej,
273.024,2,42.66,7,Poznań Piątkowo ul. Kurpińskiego,
481.0,3,80.27,1,Poznań Jeżyce ul. Szamotulska,
185.0,2,37.5,10,Poznań Łazarz ul. Głogowska,
619.0,4,110.0,3,Poznań Jeżyce Sołacz ul. Wojska Polskiego, trzecie
410.0,4,99.0,1,Poznań Grunwald Łazarz Ok/Areny ul. Potworowskiego,
295.0,2,58.0,3,Poznań Centrum ul. Rybaki, trzecie
369.0,2,56.0,1,Poznań Morasko ul. Maciejewskiego,
290.0,3,54.0,3,Poznań Winogrady ul. Os. Powstańców Warszawy, trzecie
320.0,3,61.0,3,Poznań Rataje, trzecie
206.063,2,34.06,4,Poznań Winogrady ul. Hawelańska,
663.0,4,114.0,1,Poznań Winogrady ul. Ataner Serbska/Naramowicka,
292.04,3,49.0,4,Poznań Nowe Miasto ul. Smolna 13 D,
260.848,2,43.84,2,Poznań ul. Karpia 25, drugie piÄ™tro 
365.0,4,71.3,4,Poznań Rataje,
225.0,1,40.2,1,Poznań Stare Miasto Centrum ul. Kościuszki Libelta,
287.0,2,49.3,11,Poznań Stare Miasto Piątkowo,
293.70599999999996,2,46.62,2,Poznań Łazarz ul. Kasprzaka 13, drugie piÄ™tro 
295.0,2,50.2,2,Poznań Jeżyce Jeżyce ul. Jackowskiego, drugie piÄ™tro 
308.0,2,77.0,5,Poznań Stare Miasto ul. Mostowa,
353.941,3,59.99,2,Poznań Grunwald ul. Matejki, drugie piÄ™tro 
268.832,2,43.36,4,Poznań Piątkowo ul. Kurpińskiego,
274.9,2,49.3,11,Poznań Piątkowo ul. Os. Sobieskiego,
423.523,3,69.43,2,Poznań Górczyn ul. Knapowskiego, drugie piÄ™tro 
335.0,2,53.0,1,Poznań Naramowice ul. Rubież,
340.0,3,47.4,5,Poznań Jeżyce ul. Sienkiewicza,
260.0,2,44.0,6,Poznań,
189.5,2,44.0,2,Poznań Grunwald Centrum ul. Raszyńska, drugie piÄ™tro 
240.0,2,45.0,1,Poznań Nowe Miasto,
280.0,3,48.0,1,Poznań Winogrady ul. Os. Przyjaźni,
285.094,2,48.31,2,Poznań Grunwald ul. Knapowskiego 25, drugie piÄ™tro 
636.363,4,101.01,6,Poznań Piątkowo ul. Jaroczyńskiego,
499.0,4,100.0,3,Poznań Strzeszyn ul. Fieldorfa, trzecie
419.0,4,103.2,1,Poznań Grunwald ul. Łukaszewicza,
281.728,2,44.02,7,Poznań Piątkowo ul. Kurpińskiego,
213.158,2,35.73,1,Poznań Winogrady ul. Hawelańska,
493.116,4,84.37,2,Poznań Grunwald ul. Gotowe Do Odbioru Jeleniogórska Mdm, drugie piÄ™tro 
387.0,2,49.0,4,Poznań Winogrady,
163.0,1,25.0,6,Poznań Rataje Centrum Starołęka Malta Śródka ul. Piastowskie,
205.0,1,32.0,4,Poznań,
344.135,2,62.57,1,Poznań Piątkowo ul. Kurpińskiego,
450.0,3,102.0,3,Poznań Grunwald ul. Palacza, trzecie
160.0,1,29.0,1,Poznań Jeżyce ul. Łukaszewicza,
269.0,2,47.7,1,Poznań Jeżyce Strzeszyn ul. Biskupińska,
530.0,5,90.0,4,Poznań Jeżyce Centrum Łazarz Sołacz Winogrady ul. Kraszewskiego - Mieszkanie 2 Poziomowe 3,
389.0,2,54.6,4,Poznań Stare Miasto Naramowice ul. Naramowicka,
220.0,2,36.0,3,Poznań Rataje ul. Os.Rzeczypospolitej, trzecie
342.0,3,84.0,1,Poznań Winogrady ul. Powstańców Warszawy,
277.61400000000003,2,46.1,3,Poznań Winogrady ul. Wilczak 20, trzecie
261.435,2,46.19,2,Poznań Nowe Miasto ul. Smolna 13 D, drugie piÄ™tro 
213.0,2,38.0,8,Poznań Rataje ul. Os. Piastowskie,
275.0,3,47.0,2,Poznań Rataje ul. Oświecenia, drugie piÄ™tro 
314.048,1,44.17,1,Poznań ul. Droga Dębińska 19,
314.782,3,52.03,1,Poznań Winogrady ul. Hawelańska,
235.0,2,49.0,3,Poznań Jezyce Ogrody Centrum ul. Przybyszewskiego, trzecie
195.0,2,41.0,11,Poznań Rataje ul. Os.Stare Żegrze,
295.0,1,34.0,3,Poznań Rataje Nowe Miasto ul. Osiedle Rusa, trzecie
275.0,2,49.31,4,Poznań Centrum Stare Miasto ul. Plac Cyryla Ratajskiego,
419.0,4,83.0,1,Poznań Nowe Miasto Rataje,
320.0,3,77.2,1,Poznań Rataje ul. Os. Czecha,
250.386,2,43.17,1,Poznań ul. Karpia 25,
245.0,2,42.0,1,Poznań Stare Miasto Stare Miasto,
350.0,4,101.55,1,Poznań Grunwald ul. Plewiska Ul. Poranna,
225.0,2,37.0,4,Poznań Sołacz Jeżyce Winogrady Piątkowo ul. Nad Potokiem,
259.0,2,49.0,8,Poznań Piątkowo ul. Piątkowo Os. Bolesława Śmiałego Os. B.,
450.0,3,75.3,2,Poznań Łazarz, drugie piÄ™tro 
279.0,2,49.8,1,Poznań Centrum ul. Garbary,
153.69,1,28.2,2,Poznań Rataje ul. Bnińska, drugie piÄ™tro 
349.0,3,73.0,4,Poznań Jeżyce,
310.0,4,64.0,3,Poznań ul. Wagi, trzecie
356.0,3,53.0,4,Poznań Naramowice,
178.0,2,32.0,2,Poznań Grunwald ul. Przybyszewskiego, drugie piÄ™tro 
575.0,5,105.12,2,Poznań Centrum ul. Strzelecka, drugie piÄ™tro 
369.0,4,93.0,5,Poznań Grunwald ul. Niegolewskich,
412.564,3,69.9,4,Poznań Grunwald ul. Kamiennogórska,
209.0,1,28.8,5,Poznań Centrum Stare Miasto ul. Garbary,
604.706,4,103.39,2,Poznań Grunwald ul. Gotowe Do Odbioru Jeleniogórska Mdm, drugie piÄ™tro 
251.0,2,40.5,4,Poznań Grunwald/Łazarz ul. Matejki Jana Matejki,
285.0,2,44.0,4,Poznań Piątkowo ul. Os. Zygmunta Starego,
330.0,3,65.4,2,Poznań Piątkowo ul. Os.St.Batorego, drugie piÄ™tro 
549.0,3,85.0,3,Poznań Wilda Dębiec Centrum Stare Miasto ul. Pamiątkowa Green Point, trzecie
320.0,4,75.0,1,Poznań Grunwald ul. Plewiska Z Ogrodem Mdm,
90.0,1,24.26,4,Poznań Jeżyce ul. Szamarzewskiego,
326.76099999999997,3,54.01,2,Poznań Winogrady ul. Hawelańska, drugie piÄ™tro 
309.0,3,69.2,4,Poznań Rataje,
245.0,2,42.0,1,Poznań Stary Rynek,
235.0,2,40.0,1,Poznań Wilda Centrum ul. Górna Wilda Dolina,
420.0,4,98.0,2,Poznań Grunwald ul. Głogowska/Hetmańska, drugie piÄ™tro 
512.1,3,56.9,1,Poznań ul. Apartamenty Klifowa W Rewalu Z Widokiem N,
250.0,2,56.0,1,Poznań Łazarz ul. Strusia,
385.0,4,98.13,3,Poznań Antoninek ul. Sędziewoja, trzecie
550.0,3,73.0,1,Poznań Podolany,
415.04400000000004,3,65.88,4,Poznań Winogrady ul. Hawelańska,
349.82800000000003,3,57.33,4,Poznań Winogrady ul. Hawelańska,
295.0,1,42.5,2,Poznań Winogrady ul. Żniwna, drugie piÄ™tro 
99.0,2,40.5,3,Poznań Nowe Miasto ul. Katowicka, trzecie
248.463,2,53.9,1,Poznań Baranowo Baranowo ul. Szamotulska,
261.764,2,42.22,2,Poznań Piątkowo ul. Kurpińskiego, drugie piÄ™tro 
335.0,3,62.4,1,Poznań Stare Miasto Piątkowo ul. Os. Bolesława Śmiałego,
160.0,1,29.0,1,Poznań Grunwald,
272.822,2,46.53,1,Poznań Naramowice ul. Błażeja,
235.0,2,38.1,1,Poznań Dębiec ul. Czeremchowa,
170.0,1,30.0,2,Poznań, drugie piÄ™tro 
325.0,2,50.0,2,Poznań Jeżyce ul. Nowy Świat Ogrody Jeżyce, drugie piÄ™tro 
319.0,2,54.0,1,Poznań Malta ul. Pobiedziska,
305.0,2,53.4,3,Poznań Rataje, trzecie
790.0,6,129.3,1,Poznań Piątkowo ul. Stróżyńskiego,
349.0,3,64.0,3,Poznań Naramowice ul. Sielawy - Ataner, trzecie
230.0,2,48.0,9,Poznań Rataje ul. Unii Lubelskiej,
312.404,1,32.24,2,Poznań Stare Miasto ul. Dominikańska, drugie piÄ™tro 
499.999,4,95.0,4,Poznań Rataje ul. Os. Stare Żegrze,
359.0,3,51.07,1,Poznań Grunwald,
188.5,1,29.0,1,Poznań Jeżyce Grunwald Łazarz,
345.0,3,60.0,4,Poznań Grunwald ul. Rycerska,
295.0,3,75.0,4,Poznań Łazarz Centrum Grunwald ul. Artura Grottgera,
250.0,2,40.0,1,Poznań Grunwald Górczyn Cenrtum ul. Raszyńska,
365.284,3,62.98,1,Poznań ul. Karpia 25,
178.0,2,31.37,2,Poznań Grunwald Ogrody Jeżyce Centrum Łazarz Gór ul. Przybyszewskiego - Z Balkonem!!!, drugie piÄ™tro 
175.0,1,30.0,3,Poznań Rataje ul. Os. Bohaterów Ii Wojny Światowej, trzecie
258.11,2,48.7,1,Poznań Rataje ul. Bnińska,
268.0,2,50.0,6,Poznań Dębiec ul. Os. Dębina,
420.0,4,89.4,3,Poznań Jeżyce ul. Henryka Dąbrowskiego, trzecie
210.0,2,38.0,2,Poznań Łazarz Wilda Centrum ul. Łukaszewicza, drugie piÄ™tro 
1140.0,6,192.4,1,Poznań Stare Miasto Naramowice,
312.967,3,51.73,1,Poznań Winogrady ul. Hawelańska,
324.668,3,54.8,1,Poznań Jeżyce ul. Polna 28,
168.0,1,35.6,1,Poznań Górczyn ul. Knapowskiego,
319.0,4,63.0,7,Poznań Rataje ul. Os. Rusa,
350.0,4,73.7,4,Poznań Piątkowo Winogrady ul. Os. Bolesława Chrobrego,
259.0,2,49.0,1,Poznań Rataje Śródka Starołęka Franowo ul. Czecha,
417.0,3,93.0,1,Poznań Wilda ul. Wilda/ Wierzbięcice / Czajcza/Św.Jerzego,
345.0,3,59.0,3,Poznań Tarnowo Podgórne ul. Centrum, trzecie
299.0,2,47.4,3,Poznań Centrum ul. Mielżyńskiego Z Miejscem Postojowym, trzecie
649.0,3,108.5,1,Poznań Stare Miasto Naramowice ul. Błażeja,
359.885,3,62.48,4,Poznań Nowe Miasto ul. Smolna 13 D,
198.0,2,36.1,1,Poznań Grunwald ul. Knapowskiego,
750.0,4,89.0,3,Poznań Centrum Stary Rynek ul. Kazimierza Wielkiego Galileo Komfort Gara, trzecie
555.0,4,97.3,2,Poznań Jeżyce Grunwald Łazarz ul. Śniadeckich, drugie piÄ™tro 
169.0,1,29.4,4,Poznań Łazarz ul. Lodowa,
305.0,3,85.6,3,Poznań Stare Miasto Centrum ul. Św. Marcin, trzecie
350.0,4,80.0,3,Poznań Rataje, trzecie
320.0,2,49.3,4,Poznań Winogrady ul. Serbska Wilczak,
191.952,2,48.0,3,Poznań Centrum ul. Długa, trzecie
320.0,3,80.21,4,Poznań Grunwald ul. Głogowska,
295.0,3,47.0,3,Poznań Rataje Śródka Centrum Zawady Wilda Łazarz ul. Powstań Narodowych - Niski Blok!!!, trzecie
184.8,2,44.0,1,Poznań Dębiec ul. Klonowa,
180.0,1,31.0,1,Poznań,
182.0,2,40.0,1,Poznań Centrum ul. Święty Marcin,
218.141,2,35.47,2,Poznań Winogrady ul. Hawelańska, drugie piÄ™tro 
284.211,2,41.0,5,Poznań Centrum,
275.0,3,53.0,4,Poznań Winogrady Piątkowo Sołacz Centrum Jeżyce ul. Kosmonautów - Polecam!!!,
168.0,2,35.0,3,Poznań Jeżyce ul. Kassyusza, trzecie
285.0,3,53.0,1,Poznań Winogrady ul. Osiedle Zwycięstwa,
305.0,2,44.5,1,Poznań Grunwald ul. Giżycka,
214.581,1,36.25,1,Poznań Grunwald ul. Grunwald,
0.001,5,99.76,1,Poznań Kameralne Osiedle Domów Energooszczędnyc ul. Nowe Osiedle Tygrysie Dachowa Ul.Nowina,
299.233,3,49.46,5,Poznań Winogrady ul. Hawelańska,
690.0,4,130.0,1,Poznań Poznań-Grunwald ul. Grochowska,
350.0,4,101.55,1,Poznań Grunwald ul. Plewiska Ul. Poranna,
389.0,3,66.0,1,Poznań Centrum ul. Polna,
265.0,3,60.0,1,Poznań-Nowe Miasto Rataje ul. Falista,
419.0,3,65.0,2,Poznań Stare Miasto Naramowice ul. Karpia, drugie piÄ™tro 
455.0,4,88.7,3,Poznań Rataje ul. Os. Stare Żegrze, trzecie
239.0,2,49.0,12,Poznań Rataje ul. Os. Armii Krajowej,
284.20599999999996,1,41.49,3,Poznań Jeżyce ul. Poznańska 1-3, trzecie
289.0,3,54.0,1,Poznań Rataje ul. Os. Jagiellońskie Z Wyposażeniem!!!,
319.0,2,53.7,3,Poznań Piątkowo ul. Os. Wł. Jagiełły, trzecie
288.11400000000003,2,46.47,4,Poznań Winogrady ul. Hawelańska,
245.0,2,46.0,2,Poznań Wilda ul. Kosickiego, drugie piÄ™tro 
575.0,3,64.3,4,Poznań Nowe Miasto ul. Katowicka,
303.688,2,44.66,2,Poznań Jeżyce ul. Botaniczna, drugie piÄ™tro 
265.0,3,48.0,2,Poznań Winogrady ul. Osiedle Kosmonautów, drugie piÄ™tro 
397.716,3,60.26,3,Poznań Jeżyce ul. Poznańska 1-3, trzecie
300.0,2,54.0,2,Poznań Centrum ul. Świętego Wojciecha Centrum, drugie piÄ™tro 
299.0,2,49.0,2,Poznań Naramowice, drugie piÄ™tro 
259.0,2,49.0,8,Poznań Piątkowo ul. Os. Bolesława Śmiałego,
277.84,2,54.4,4,Poznań Winogrady ul. Wilczak 20,
271.253,2,43.68,6,Poznań Winogrady ul. Hawelańska,
350.0,2,69.6,4,Poznań Stare Miasto Centrum Wilda,
799.0,2,60.0,7,Poznań Centrum ul. Towarowa,
260.0,2,54.0,3,Poznań Poznań-Nowe Miasto ul. Stanisława Małachowskiego, trzecie
208.0,2,47.0,3,Poznań Łazarz ul. Niegolewskich, trzecie
439.9,3,75.0,4,Poznań Sołacz ul. Urbanowska,
847.325,1,98.07,4,Poznań Grunwald/Łazarz,
599.0,4,108.0,1,Poznań Centrum,
199.0,1,26.8,1,Poznań Wilda ul. Różana,
200.0,2,41.3,2,Poznań Rataje Nowe Miasto ul. Os. Lecha - Mdm, drugie piÄ™tro 
429.0,5,131.1,3,Poznań Wilda Obok Green Point ul. Fabryczna, trzecie
223.162,2,37.76,1,Poznań Nowe Miasto ul. Smolna 13 D,
200.0,1,31.0,1,Poznań Rataje ul. Czecha,
320.0,4,61.0,2,Poznań ul. Os. Armii Krajowej, drugie piÄ™tro 
520.0,3,90.75,1,Poznań Stare Miasto ul. Strzeszyńska,
295.0,2,44.8,1,Poznań Jeżyce Smochowice ul. Sianowska,
357.37199999999996,4,63.14,2,Poznań Nowe Miasto ul. Smolna 13 D, drugie piÄ™tro 
452.069,4,67.08,4,Poznań Sołacz ul. Sokoła,
344.101,3,56.41,3,Poznań Winogrady ul. Hawelańska, trzecie
180.0,1,27.0,8,Poznań Winogrady Piątkowo Naramowice ul. Kosmonautów,
599.0,3,93.46,3,Poznań Centrum ul. Ogrodowa, trzecie
275.0,2,56.0,3,Poznań Wilda ul. Umińskiego, trzecie
547.0,2,63.3,2,Poznań Grunwald ul. Wojskowa, drugie piÄ™tro 
732.68,4,112.72,1,Poznań Poznań-Wilda ul. Wierzbięcice,
320.0,3,78.0,16,Poznań Rataje ul. Os.Orła Białego,
520.0,3,71.8,1,Poznań Łazarz ul. Sczanieckiej,
308.0,2,53.87,3,Poznań ul. Dolina, trzecie
250.0,3,54.0,3,Poznań Rataje ul. Osiedle Czecha, trzecie
299.0,2,45.5,3,Poznań Piątkowo ul. Zygmunta Starego, trzecie
339.0,3,73.0,5,Poznań Centrum,
179.0,2,36.0,5,Poznań Jeżyce ul. Norwida,
359.0,3,68.0,1,Poznań Nowe Miasto,
462.858,3,70.0,1,Poznań Grunwald ul. Heweliusza Palacza,
235.0,2,48.8,5,Poznań Nowe Miasto Rataje ul. Os. Tysiąclecia,
290.0,3,76.0,1,Poznań Grunwald/Łazarz ul. Hetmańska,
309.0,2,51.0,1,Poznań Piątkowo ul. Stefana Batorego - Negocjuj,
250.0,2,40.0,10,Poznań Winogrady,
264.0,2,48.0,3,Poznań Naramowice ul. Winogrady Naramowice, trzecie
281.632,3,48.06,2,Poznań Nowe Miasto ul. Smolna 13 D, drugie piÄ™tro 
392.0,4,100.0,1,Poznań Grunwald ul. Promienista,
219.563,2,35.13,8,Poznań Winogrady ul. Hawelańska,
380.0,2,46.5,1,Poznań Grunwald Łazarz ul. Jana Matejki,
175.0,1,29.0,4,Poznań Grunwald Łazarz ul. Ul.Lodowa,
225.0,2,50.0,2,Poznań Ogrody Jeżyce ul. Dąbrowskiego Szamotulska, drugie piÄ™tro 
199.0,2,70.0,4,Poznań Jeżyce Centrum ul. Staszica,
429.0,2,52.4,1,Poznań Centrum ul. Wielka,
255.0,2,52.0,2,Poznań Grunwald ul. Mieszkanie Z Dopłatą Z Mdm-U, drugie piÄ™tro 
149.0,1,20.0,5,Poznań Ogrody ul. Szpitalna,
205.563,2,32.89,5,Poznań Winogrady ul. Hawelańska,
225.23,2,38.11,2,Poznań Nowe Miasto ul. Smolna 13 D, drugie piÄ™tro 
265.0,2,40.7,2,Poznań Wilda ul. 28 Czerwca 1956 Roku, drugie piÄ™tro 
404.644,3,70.56,1,Poznań Grunwald ul. Gotowe Do Odbioru Jeleniogórska Mdm,
415.14,3,62.9,3,Poznań Jeżyce ul. Poznańska 1-3, trzecie
488.0,4,95.0,4,Poznań Grunwald Górczyn,
215.0,1,30.7,1,Poznań Wilda ul. 28 Czerwca 1956 Roku,
333.994,3,53.87,4,Poznań Winogrady ul. Hawelańska,
630.0,4,108.4,3,Poznań Piątkowo ul. Mateckiego, trzecie
210.0,2,46.0,6,Poznań Jeżyce Centrum Wilda Łazarz ul. Poznańska Ul.,
265.531,2,45.39,1,Poznań ul. Karpia 25,
239.135,1,36.79,4,Poznań Łazarz ul. Kasprzaka 13,
298.0,3,64.0,1,Poznań Grunwald ul. Raszkowska,
299.0,3,62.5,4,Poznań Grunwald ul. Ściegiennego,
335.0,3,70.6,11,Poznań Piątkowo,
419.0,3,65.0,2,Poznań Stare Miasto ul. Karpia, drugie piÄ™tro 
280.973,2,48.29,1,Poznań Naramowice ul. Błażeja,
245.0,2,45.97,2,Poznań Podolany ul. Żegiestowska, drugie piÄ™tro 
423.42,3,68.47,4,Poznań Grunwald ul. Gotowe Do Odbioru Jeleniogórska Mdm,
238.0,2,42.0,1,Poznań Piątkowo ul. Os.Zygmunta Starego-Bezpośrednio,
268.974,2,45.9,5,Poznań Nowe Miasto ul. Smolna 13 D,
199.0,2,38.0,3,Poznań ul. Olszynka, trzecie
330.0,3,66.0,2,Poznań ul. Ratajczaka, drugie piÄ™tro 
302.651,2,45.69,5,Poznań Wilda ul. Chwiałkowskiego,
240.805,2,47.18,5,Poznań Centrum,
269.0,2,45.0,4,Poznań Stare Miasto ul. Os. Stefana Batorego,
291.64799999999997,2,47.04,4,Poznań Piątkowo ul. Kurpińskiego,
215.0,2,40.0,2,Poznań Bonin ul. Turkusowa, drugie piÄ™tro 
162.5,1,25.0,1,Poznań Poznań-Grunwald ul. Jana Matejki,
384.0,2,62.59,3,Poznań Wilda ul. Górna Wilda, trzecie
438.82199999999995,3,77.1,3,Poznań Grunwald ul. Kamiennogórska, trzecie
275.0,3,52.0,2,Poznań ul. Komorniki, drugie piÄ™tro 
365.0,4,74.0,1,Poznań Piątkowo Stare Miasto Podolany ul. Os. Chrobrego,
279.875,3,44.78,5,Poznań Winogrady ul. Hawelańska,
250.0,2,49.7,3,Poznań Grunwald Łazarz ul. Chociszewskiego, trzecie
295.0,2,58.0,3,Poznań Centrum ul. Rybaki, trzecie
314.782,3,52.03,2,Poznań Winogrady ul. Hawelańska, drugie piÄ™tro 
315.0,2,39.41,1,Poznań Poznań-Stare Miasto,
369.0,3,49.3,3,Poznań Wilda ul. Umińskiego / Kosińskiego, trzecie
360.0,3,62.0,3,Poznań Nowe Miasto ul. Bohaterów Ii Wojny Światowej, trzecie
330.0,3,62.7,5,Poznań Piątkowo ul. Os.Sobieskiego,
263.3,2,49.5,4,Poznań Sołacz ul. Źródlana,
450.0,3,102.2,2,Poznań Grunwald ul. Emilii Sczanieckiej, drugie piÄ™tro 
495.0,3,68.4,4,Poznań Rataje ul. Katowicka,
256.722,2,44.96,1,Poznań Nowe Miasto ul. Smolna 13 D,
265.0,3,105.0,1,Poznań Rataje ul. Orła Białego-Mieszkanie W Programie Mdm!,
229.0,2,56.1,1,Poznań Wilda ul. Przemysłowa,
290.0,3,62.7,3,Poznań Grunwald Górczyn ul. Ściegiennego, trzecie
274.9,2,49.3,11,Poznań Piątkowo ul. Os. Jana Iii Sobieskiego,
309.0,3,62.7,1,Poznań Rataje ul. Armii Krajowej,
239.0,2,36.5,3,Poznań Wilda, trzecie
199.0,3,64.47,1,Poznań Wilda ul. Pamiątkowa,
318.0,2,58.0,1,Poznań Stare Miasto,
245.0,2,45.5,2,Poznań Winogrady ul. Osiedle Wichrowe Wzgórze, drugie piÄ™tro 
220.0,2,43.7,1,Poznań Rataje ul. Os. Piastowskie,
265.0,2,49.0,9,Poznań Piątkowo ul. Oś. Jana Iii Sobieskiego,
149.0,1,22.0,5,Poznań Ogrody ul. Szpitalna,
309.9,4,62.0,3,Poznań ul. Os. Powstań Narodowych, trzecie
240.0,2,47.0,9,Poznań Winogrady ul. Os. Wichrowe Wzgórze,
185.0,1,30.0,1,Poznań Grunwald Łazarz ul. Ul.Chociszewskiego,
222.0,2,44.0,4,Poznań Grunwald Górczyn Łazarz ul. Grochowska,
490.0,3,115.0,1,Poznań Jeżyce ul. Jeżycka,
243.30599999999998,2,38.62,7,Poznań Winogrady ul. Hawelańska,
456.0,2,58.0,1,Poznań Winogrady,
275.07599999999996,2,48.37,1,Poznań Naramowice ul. Błażeja,
288.44599999999997,3,48.35,1,Poznań Winogrady ul. Hawelańska,
271.0,2,57.0,2,Poznań Jeżyce Centrum Ogrody ul. Przybyszewskiego, drugie piÄ™tro 
202.12,1,32.6,1,Poznań Winogrady ul. Hawelańska,
168.0,1,37.0,1,Poznań Wilda Łazarz Centrum ul. Chłapowskiego,
200.0,3,60.0,2,Poznań Komorniki, drugie piÄ™tro 
105.0,2,46.0,3,Poznań ul. Folwarczna, trzecie
247.428,2,42.66,1,Poznań Wilda ul. Rolna 37 I 39,
310.20799999999997,2,48.47,5,Poznań Piątkowo ul. Kurpińskiego,
269.0,3,53.4,4,Poznań Winogrady ul. Os. Przyjaźni,
260.0,2,40.0,4,Poznań Zawady,
269.0,2,45.0,4,Poznań Piątkowo Winogrady Sołacz Centrum Naramow ul. Batorego - Polecam!!!,
264.0,3,47.3,4,Poznań Winogrady ul. Os. Kosmonautów,
310.0,3,59.0,1,Poznań Stare Miasto ul. Mołdawska,
293.0,2,48.0,3,Poznań Stare Miasto ul. Os. Przyjaźni, trzecie
